Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
DA Payne,47,165.1,"1,355",66,8.2,20.53,15.02,1,0,Apr-15,148,43,406
DAJ Bracewell,25,91.2,777,27,8.51,28.78,20.3,0,0,Mar-33,71,31,202
DC Drakes,21,72.3,631,28,8.7,22.54,15.54,0,0,Mar-26,45,33,182
DI Stevens,15,36,331,11,9.19,30.09,19.64,0,0,Mar-32,22,15,48
Dilbar Hussain,14,44.2,371,18,8.37,20.61,14.78,1,0,Apr-24,27,15,97
DJ Bravo,91,319.1,"2,600",114,8.15,22.81,16.8,3,0,Apr-25,197,71,601
DJ Lamb,32,89.4,770,26,8.59,29.62,20.69,0,0,Mar-23,55,23,137
DJ Mitchell,36,82.2,773,34,9.39,22.74,14.53,1,0,Apr-32,61,29,140
DJ Willey,44,135.2,"1,094",46,8.08,23.78,17.65,1,0,Apr-18,111,36,332
DJ Worrall,50,165.5,"1,296",38,7.82,34.11,26.18,1,0,Apr-23,145,33,445
DJM Short,67,172.4,"1,453",44,8.42,33.02,23.55,0,1,May-21,85,60,273
DKH Mitchell,28,77,556,16,7.22,34.75,28.88,0,0,Mar-35,25,19,119
DL Chahar,48,178.3,"1,405",48,7.87,29.27,22.31,2,0,Apr-13,169,34,455
DM Bess,23,65,500,18,7.69,27.78,21.67,0,0,Mar-17,40,13,102
DMW Rawlins,21,53,386,15,7.28,25.73,21.2,0,0,Mar-21,27,13,111
DR Briggs,64,221.4,"1,658",65,7.48,25.51,20.46,0,0,Mar-17,104,66,420
DR Sams,77,263.4,"2,237",94,8.48,23.8,16.83,4,0,Apr-25,200,84,613
DS Kulkarni,15,53,489,6,9.23,81.5,53,0,0,Jan-14,49,19,114
DT Christian,99,259.5,"2,230",76,8.58,29.34,20.51,2,0,Apr-20,167,69,429
DW Lawrence,20,38.5,325,12,8.37,27.08,19.42,0,0,02-Mar,37,8,86
DW Steyn,25,90.3,708,31,7.82,22.84,17.52,0,0,03-Oct,76,24,255
DY Pennington,37,103.4,988,34,9.53,29.06,18.29,1,0,Apr-24,117,37,267
Ebadat Hossain,22,78,610,22,7.82,27.73,21.27,1,0,Apr-17,69,18,212
EG Barnard,45,128.2,"1,127",33,8.78,34.15,23.33,0,0,Mar-44,84,42,189
EJ Nuttall,40,130.4,"1,175",37,8.99,31.76,21.19,0,0,Mar-18,126,42,305
FA Allen,26,73,621,16,8.51,38.81,27.38,0,0,Feb-30,39,37,154
Faheem Ashraf,52,180,"1,473",60,8.18,24.55,18,1,1,Jun-19,159,47,430
Farhad Reza,38,104.4,947,36,9.05,26.31,17.44,1,0,Apr-32,70,43,174
Fawad Ahmed,109,399,"2,849",112,7.14,25.44,21.38,1,0,Apr-21,156,122,844
FH Edwards,20,67.4,581,21,8.59,27.67,19.33,1,0,Apr-22,56,22,164
FJ Heldreich,14,44,344,15,7.82,22.93,17.6,0,0,Mar-22,19,13,70
FJ Hudson-Prentice,27,75,697,28,9.29,24.89,16.07,0,0,Mar-36,74,27,155
FJ Klaassen,50,165.4,"1,493",54,9.01,27.65,18.41,1,0,Apr-32,147,52,366
G Stewart,28,88.2,800,27,9.06,29.63,19.63,0,0,Mar-33,65,27,154
GC Viljoen,38,133.1,"1,176",42,8.83,28,19.02,1,0,Apr-29,125,36,294
GD Phillips,19,38.2,319,13,8.32,24.54,17.69,0,0,02-Nov,23,14,75
GF Linde,15,44,381,14,8.66,27.21,18.86,0,0,Mar-23,25,17,79
GG Wagg,13,39,313,8,8.03,39.12,29.25,0,0,Mar-34,26,5,60
GG White,44,154.5,"1,225",44,7.91,27.84,21.11,1,0,Apr-26,70,46,258
GHS Garton,41,126,"1,100",45,8.73,24.44,16.8,2,0,Apr-21,100,46,306
Ghulam Mudassar,10,35.4,363,11,10.18,33,19.45,0,0,Mar-21,33,12,58
GJ Batty,33,109.1,751,31,6.88,24.23,21.13,0,0,03-Jul,42,21,194
GJ Maxwell,77,191.5,"1,428",41,7.44,34.83,28.07,0,0,Mar-23,84,56,348
GL van Buuren,23,57,448,18,7.86,24.89,19,0,0,Mar-15,28,15,97
GLS Scrimshaw,20,67.5,549,29,8.09,18.93,14.03,0,0,Mar-20,51,18,158
GS Sandhu,28,85.1,686,29,8.05,23.66,17.62,1,0,Apr-22,45,23,189
GT Griffiths,31,86.4,784,33,9.05,23.76,15.76,2,0,Apr-24,75,31,187
H Kerr,28,80.2,660,37,8.22,17.84,13.03,1,0,Apr-32,65,17,162
Harbhajan Singh,14,51,375,16,7.35,23.44,19.12,0,0,Mar-20,28,18,137
Haris Rauf,62,230.5,"1,984",81,8.59,24.49,17.1,1,1,May-27,180,76,521
Harpreet Brar,21,68.4,486,12,7.08,40.5,34.33,0,0,Mar-19,27,22,160
Hasan Ali,41,155.5,"1,250",55,8.02,22.73,17,3,0,Apr-15,130,45,386
Hasan Mahmud,22,74.1,615,21,8.29,29.29,21.19,1,0,Apr-32,61,21,174
HB Shipley,23,65,524,23,8.06,22.78,16.96,1,0,Apr-23,51,17,148
HF Gurney,42,151,"1,217",56,8.06,21.73,16.18,0,1,May-30,90,42,317
HH Pandya,26,73,612,22,8.38,27.82,19.91,0,0,Mar-17,49,29,171
HJH Brookes,25,84.3,761,32,9.01,23.78,15.84,0,0,Mar-26,84,23,196
HK Bennett,38,134.5,"1,068",43,7.92,24.84,18.81,0,0,Mar-15,115,33,344
HNA Conway,16,57.2,454,15,7.92,30.27,22.93,0,0,Mar-37,40,10,120
HR Walsh,27,83.4,674,37,8.06,18.22,13.57,1,1,May-19,40,46,218
HV Patel,39,140.4,"1,136",60,8.08,18.93,14.07,2,1,May-27,86,44,316
I Khan,11,33.3,204,14,6.09,14.57,14.36,0,0,03-Jul,10,10,97
I Sharma,21,75.1,586,19,7.8,30.84,23.74,0,0,Mar-38,63,16,195
I Udana,49,163.5,"1,440",48,8.79,30,20.48,0,1,May-21,139,46,340
Iftikhar Ahmed,21,33.4,282,7,8.38,40.29,28.86,0,0,02-Apr,17,16,69
Imad Wasim,73,258.2,"1,794",62,6.94,28.94,25,0,0,Mar-15,142,57,600
Imran Khan,10,35.4,308,12,8.64,25.67,17.83,0,0,Mar-24,30,11,73
Imran Qayyum,19,71.1,555,23,7.8,24.13,18.57,0,1,May-21,32,18,106
Imran Tahir,121,449.5,"2,983",173,6.63,17.24,15.6,3,1,May-25,159,136,"1,065"
IS Sodhi,49,180.3,"1,409",54,7.81,26.09,20.06,1,1,05-Aug,77,71,351
J Clark,23,56.2,529,12,9.39,44.08,28.17,0,0,01-Nov,55,15,98
J Overton,28,63.5,588,10,9.21,58.8,38.3,0,0,Feb-14,72,15,138
J Royal,13,36.2,279,14,7.68,19.93,15.57,0,0,Mar-19,19,15,103
J Shaw,20,48,411,17,8.56,24.18,16.94,0,0,Mar-32,57,9,125
J Suchith,13,47,367,12,7.81,30.58,23.5,0,0,02-Dec,21,18,98
J Yadav,14,49,357,7,7.29,51,42,0,0,Feb-14,20,17,113
JA Duffy,35,128.1,"1,098",30,8.57,36.6,25.63,0,0,Mar-30,101,35,269
JA Prestwidge,22,55.3,452,17,8.14,26.59,19.59,0,0,Feb-15,37,13,125
JA Richardson,38,140.5,"1,075",53,7.63,20.28,15.94,3,0,Apr-19,106,32,381
JA Thompson,46,126.1,"1,189",51,9.42,23.31,14.84,2,0,Apr-32,82,54,230
JB Lintott,47,160.3,"1,143",58,7.12,19.71,16.6,2,0,Apr-20,78,35,305
JC Archer,39,149.5,"1,024",46,6.83,22.26,19.54,0,0,03-Dec,96,37,435
JD Cook,21,67,508,22,7.58,23.09,18.27,1,0,Apr-21,32,23,143
JD Unadkat,34,121.4,"1,142",33,9.39,34.61,22.12,1,0,Apr-22,84,58,221
JD Wildermuth,31,93.2,787,18,8.43,43.72,31.11,0,0,Mar-23,78,25,206
JDS Neesham,72,197.2,"1,773",73,8.98,24.29,16.22,1,0,Apr-26,162,67,391
JE Root,12,33.2,245,12,7.35,20.42,16.67,0,0,02-Jul,15,7,66
JE Taylor,18,58.3,608,14,10.39,43.43,25.07,0,0,02-Dec,46,34,126
JFA Field,15,45.1,434,15,9.61,28.93,18.07,0,0,Feb-26,47,16,91
JG Walker,17,56,374,25,6.68,14.96,13.44,1,0,Apr-31,22,13,119
JH Davey,20,66.5,615,36,9.2,17.08,11.14,2,0,Apr-34,49,31,152
JH Plom,13,40.4,391,16,9.61,24.44,15.25,0,0,Mar-31,41,15,96
JJ Bazley,17,51.5,418,15,8.06,27.87,20.73,0,0,Mar-28,33,12,101
JJ Bumrah,59,230,"1,606",82,6.98,19.59,16.83,2,1,05-Oct,151,45,629
JJ Cobb,33,79.1,510,16,6.44,31.88,29.69,0,1,May-25,45,9,178
JK Fuller,19,48,457,13,9.52,35.15,22.15,1,0,Apr-30,49,18,98
JK Lalor,38,130.1,"1,118",43,8.59,26,18.16,0,1,May-26,104,40,311
JL Denly,27,61.2,472,15,7.7,31.47,24.53,0,0,Mar-31,43,18,147
JL Jaggesar,14,53,386,15,7.28,25.73,21.2,0,0,Mar-32,17,25,138
JL Pattinson,28,93.2,820,27,8.79,30.37,20.74,0,1,May-33,73,31,208
JM Bird,33,104,737,28,7.09,26.32,22.29,0,0,Mar-33,75,17,268
JNT Seales,18,55.2,462,27,8.35,17.11,12.3,1,0,Apr-13,39,23,153
JO Holder,62,223.2,"1,791",75,8.02,23.88,17.87,1,0,Apr-52,153,78,578
JP Behrendorff,50,173,"1,307",46,7.55,28.41,22.57,0,0,Mar-22,136,43,474
JP Faulkner,44,154.4,"1,241",59,8.02,21.03,15.73,0,0,Mar-19,116,45,348
JR Hazlewood,29,109.3,846,37,7.73,22.86,17.76,1,0,Apr-25,84,33,292
JR Lennox,10,35,250,14,7.14,17.86,15,0,0,Mar-20,17,9,78
JS Patel,29,108,799,30,7.4,26.63,21.6,0,0,Mar-16,52,27,207
JT Ball,39,127,"1,184",62,9.32,19.1,12.29,2,0,04-Nov,117,39,240
Junaid Khan,19,71.1,610,24,8.57,25.42,17.79,1,0,Apr-32,64,20,172
JW Dernbach,19,60.4,558,17,9.2,32.82,21.41,0,0,Feb-27,50,18,114
JW Shutt,13,42.1,328,16,7.78,20.5,15.81,1,1,05-Nov,18,13,75
K Gowtham,13,40,349,7,8.72,49.86,34.29,0,0,Feb-30,25,20,82
K Noema-Barnett,17,42.4,359,16,8.41,22.44,16,0,0,03-Sep,28,13,74
K Pierre,27,95.3,675,25,7.07,27,22.92,0,0,Mar-16,46,29,258
K Rabada,64,242.5,"1,996",101,8.22,19.76,14.43,6,0,Apr-21,192,76,605
K Santokie,11,38.5,331,13,8.52,25.46,17.92,0,0,Mar-13,31,13,91
KA Jamieson,34,115.4,990,44,8.56,22.5,15.77,1,1,06-Jul,90,44,300
KA Maharaj,11,42.5,278,7,6.49,39.71,36.71,0,0,Mar-15,16,10,99
KA Pollard,65,134.2,"1,143",35,8.51,32.66,23.03,1,0,Apr-30,69,47,229
Kamrul Islam Rabbi,37,118.4,"1,054",49,8.88,21.51,14.53,3,0,04-Oct,90,51,265
Karim Janat,12,38.1,298,11,7.81,27.09,20.82,0,0,Feb-26,30,7,85
Kartik Tyagi,16,60.1,570,14,9.47,40.71,25.79,0,0,Feb-29,52,27,141
KH Pandya,56,167.2,"1,245",33,7.44,37.73,30.42,0,0,Mar-19,84,43,335
Khaled Ahmed,20,76.3,607,27,7.93,22.48,17,0,0,Mar-20,67,18,188
Khushdil Shah,17,40.2,281,17,6.97,16.53,14.24,1,0,Apr-35,16,12,90
KJ Abbott,27,95.5,807,33,8.42,24.45,17.42,0,0,Mar-15,87,23,214
KK Ahmed,38,146.4,"1,227",50,8.37,24.54,17.6,0,0,Mar-21,126,44,358
KL Nagarkoti,13,38,346,7,9.11,49.43,32.57,0,0,Feb-13,27,16,70
KMA Paul,38,112.3,"1,063",38,9.45,27.97,17.76,1,0,Apr-19,92,45,241
KOK Williams,36,119.3,"1,059",44,8.86,24.07,16.3,1,0,Apr-24,78,49,261
KR Sen,10,36.3,319,11,8.74,29,19.91,1,0,Apr-20,34,12,87
Kuldeep Yadav,27,94.4,797,26,8.42,30.65,21.85,2,0,Apr-14,49,40,171
KW Richardson,41,155.3,"1,224",61,7.87,20.07,15.3,3,0,Apr-22,126,32,369
L Delport,12,37.1,318,11,8.56,28.91,20.27,0,0,Feb-20,26,10,67
L Gregory,59,164.4,"1,478",61,8.98,24.23,16.2,1,1,May-24,126,60,319
L Ngidi,13,48,456,23,9.5,19.83,12.52,0,0,Mar-28,42,20,101
L Pope,22,68,530,19,7.79,27.89,21.47,0,0,Mar-23,31,21,130
L Trevaskis,40,145.5,"1,089",37,7.47,29.43,23.65,0,0,Mar-16,87,32,293
L Wood,41,119.1,960,39,8.06,24.62,18.33,1,0,Apr-20,95,18,266
LA Dawson,59,186.5,"1,300",50,6.96,26,22.42,0,0,03-Nov,90,44,405
Lalit Yadav,19,56,438,18,7.82,24.33,18.67,0,0,Mar-22,32,15,105
LBK Hollman,24,64,528,26,8.25,20.31,14.77,0,0,Mar-18,32,24,112
LC Hatcher,9,34.4,308,13,8.88,23.69,16,0,0,Mar-28,27,10,71
LE Plunkett,21,63.1,549,22,8.69,24.95,17.23,1,0,Apr-36,35,24,125
LH Ferguson,55,201.5,"1,617",68,8.01,23.78,17.81,3,0,Apr-19,158,57,503
LJ Fletcher,31,95.5,891,39,9.3,22.85,14.74,0,2,May-32,76,35,169
LM Reece,32,68.5,590,19,8.57,31.05,21.74,0,0,02-Sep,43,16,92
LN O'Connor,15,48,375,11,7.81,34.09,26.18,0,0,Mar-30,26,11,80
LP Goldsworthy,20,53,413,18,7.79,22.94,17.67,0,0,Mar-14,27,15,95
LS Livingstone,64,169.2,"1,380",55,8.15,25.09,18.47,1,0,Apr-23,77,65,310
LV van Beek,62,204.4,"1,709",62,8.35,27.56,19.81,1,0,Apr-17,171,49,463
M Ashwin,43,154.3,"1,111",38,7.19,29.24,24.39,0,0,Mar-16,72,40,324
M Carter,50,159.2,"1,213",49,7.61,24.76,19.51,0,0,Mar-14,79,47,323
M de Lange,50,157.4,"1,375",55,8.72,25,17.2,2,1,May-20,127,50,325
M Jansen,13,48,424,10,8.83,42.4,28.8,0,0,Mar-25,39,18,115
M Kelly,25,88.2,775,38,8.77,20.39,13.95,3,0,Apr-25,82,22,197
M Labuschagne,23,56,487,23,8.7,21.17,14.61,0,0,Mar-13,30,22,105
M Markande,12,37,280,9,7.57,31.11,24.67,0,0,Feb-25,20,9,68
M Mohammed,12,36,275,16,7.64,17.19,13.5,1,0,Apr-24,18,11,71
M Morkel,15,47.4,357,17,7.49,21,16.82,0,0,Mar-21,25,9,100
M Prasidh Krishna,45,165.5,"1,463",39,8.82,37.51,25.51,0,0,Mar-22,169,48,453
M Pretorius,10,37,354,16,9.57,22.12,13.88,2,0,Apr-32,29,21,86
M Theekshana,20,77,546,28,7.09,19.5,16.5,2,0,Apr-25,42,19,176
Mahedi Hasan,45,148.3,"1,050",34,7.07,30.88,26.21,1,0,Apr-22,89,48,426
Mahmudullah,28,60,423,17,7.05,24.88,21.18,0,0,02-Dec,21,21,135
Mashrafe Mortaza,35,128,939,41,7.34,22.9,18.73,1,1,May-35,88,30,316
MB Bacon,14,46.5,445,16,9.5,27.81,17.56,0,0,Mar-18,40,19,99
MD Fisher,17,55,482,20,8.76,24.1,16.5,0,0,Mar-21,53,15,120
MD Rae,15,51.2,498,15,9.7,33.2,20.53,0,0,Mar-23,46,21,96
MD Shanaka,16,37.4,390,10,10.35,39,22.6,0,0,Feb-34,37,15,60
MD Taylor,13,42,402,9,9.57,44.67,28,0,0,Mar-29,40,15,91
ME Milnes,38,121.3,"1,073",38,8.83,28.24,19.18,1,1,May-22,113,27,239
Mehedi Hasan Rana,21,72,599,32,8.32,18.72,13.5,3,0,Apr-17,59,21,176
Mehidy Hasan Miraz,43,138.3,"1,068",35,7.71,30.51,23.74,1,0,Apr-16,68,62,332
MG Bracewell,18,49,367,19,7.49,19.32,15.47,1,0,Apr-28,20,13,93
MG Hogan,12,43,346,16,8.05,21.62,16.12,0,1,May-18,35,10,95
MG Neser,33,110.4,875,36,7.91,24.31,18.44,0,0,Mar-13,76,25,242
MH McKiernan,19,57,420,17,7.37,24.71,20.12,0,0,03-Sep,35,13,121
MJ Fisher,11,34.5,310,9,8.9,34.44,23.22,0,0,Feb-21,30,11,90
MJ Henry,24,93.2,775,32,8.3,24.22,17.5,0,0,03-Nov,79,27,226
MJ McClenaghan,40,143.4,"1,299",44,9.04,29.52,19.59,0,0,Mar-23,116,56,312
MJ Potts,38,127.1,"1,057",47,8.31,22.49,16.23,0,0,03-Aug,106,34,297
MJ Santner,34,114.4,802,32,6.99,25.06,21.5,0,0,02-Oct,48,32,280
MJ Swepson,29,103.2,783,31,7.58,25.26,20,0,0,Mar-22,46,25,185
MJ Waite,15,39.1,394,12,10.06,32.83,19.58,0,0,Feb-17,33,17,71
MJG Rippon,37,131.2,"1,099",33,8.37,33.3,23.88,0,0,Mar-32,65,54,237
MJJ Critchley,47,164.1,"1,201",51,7.32,23.55,19.31,1,0,Apr-36,72,44,311
MK Andersson,13,36.3,351,17,9.62,20.65,12.88,0,0,Mar-32,29,13,78
MM Ali,69,179.3,"1,315",57,7.33,23.07,18.89,1,0,Apr-18,75,64,372
Mohammad Amir,79,295,"2,240",91,7.59,24.62,19.45,3,2,Jun-17,228,64,781
Mohammad Hafeez,54,140.1,976,32,6.96,30.5,26.28,0,0,Mar-18,59,46,324
Mohammad Hasnain,37,136.1,"1,132",52,8.31,21.77,15.71,2,0,Apr-25,120,42,360
Mohammad Ilyas,23,67.3,607,26,8.99,23.35,15.58,0,0,Mar-27,66,25,157
Mohammad Imran,14,51.3,433,10,8.41,43.3,30.9,0,0,Feb-47,43,13,107
Mohammad Irfan,52,205.5,"1,464",46,7.11,31.83,26.85,0,0,Mar-27,156,49,597
Mohammad Nabi,101,322.2,"2,216",80,6.87,27.7,24.18,2,1,May-15,127,80,682
Mohammad Nawaz(3),49,164,"1,282",45,7.82,28.49,21.87,0,0,Mar-22,97,63,370
Mohammad Saifuddin,16,57.5,460,23,7.95,20,15.09,1,0,Apr-22,41,18,152
Mohammad Wasim(1),19,67.3,644,20,9.54,32.2,20.25,1,0,Apr-31,72,23,137
Mohammed Shami,58,221.2,"1,812",78,8.19,23.23,17.03,0,0,Mar-15,193,65,579
Mohammed Siraj,48,158.1,"1,368",38,8.65,36,24.97,0,0,03-Aug,139,61,424
Mosaddek Hossain,29,73,512,17,7.01,30.12,25.76,0,0,02-Sep,32,20,149
MP Kuhnemann,16,46,354,11,7.7,32.18,25.09,0,0,Mar-47,25,12,85
MP Stoinis,46,97.3,894,38,9.17,23.53,15.39,1,0,Apr-21,67,43,181
MR Marsh,29,66.1,568,19,8.58,29.89,20.89,0,0,02-Oct,61,15,138
